Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2022-02-24 00:00:00+00:00,2579.7,2740.0,2300.0,2596.2,1395732.7753,3417715584.187025,1774038,707050.4189,1732942191.413947
2022-02-25 00:00:00+00:00,2596.26,2834.97,2571.72,2768.49,679394.1762,1818778014.603611,1102014,360732.9676,966041209.409697
2022-02-26 00:00:00+00:00,2768.05,2878.0,2727.5,2779.47,418485.2529,1169315477.8095,781683,216251.6942,604354686.841964
2022-02-27 00:00:00+00:00,2779.47,2836.33,2557.98,2616.79,650198.7785,1757950720.803781,1149184,318022.3875,860366198.543408
2022-02-28 00:00:00+00:00,2616.79,2951.6,2568.62,2920.95,733794.4488,2004492152.838274,1203874,382192.1865,1045287838.386042
2022-03-01 00:00:00+00:00,2920.83,3037.94,2854.09,2976.33,673901.6976,1983738648.091627,1237486,336703.7636,991272629.435511
2022-03-02 00:00:00+00:00,2976.33,3043.91,2914.21,2947.3,614623.7461,1828572588.461256,1050193,307323.4319,914601548.810062
2022-03-03 00:00:00+00:00,2947.31,2970.97,2785.0,2833.99,446192.2353,1282099960.458349,770738,215583.3099,619536616.122407
2022-03-04 00:00:00+00:00,2834.0,2836.17,2573.0,2622.1,556178.7588,1499282207.482794,934846,272794.9911,735559329.811336
2022-03-05 00:00:00+00:00,2622.11,2685.12,2589.38,2665.15,268730.3036,709708518.862464,531829,132344.5447,349622255.232099
2022-03-06 00:00:00+00:00,2665.16,2676.29,2535.0,2551.29,336487.9099,881200532.285509,528787,158089.6763,414180880.675667
2022-03-07 00:00:00+00:00,2551.3,2649.0,2445.0,2491.12,620171.6787,1575658962.135642,870430,311464.4996,791626717.895083
2022-03-08 00:00:00+00:00,2491.12,2624.0,2480.15,2575.97,561659.7421,1438848034.008704,812094,282902.6371,724775308.206749
2022-03-09 00:00:00+00:00,2575.98,2775.85,2567.7,2726.98,562771.7403,1524779168.022153,840331,296746.7595,803535349.967805
2022-03-10 00:00:00+00:00,2726.98,2733.25,2550.27,2606.7,559029.9377,1460470256.475736,740676,264792.3285,691745592.300447
2022-03-11 00:00:00+00:00,2606.69,2676.78,2522.57,2556.86,494583.6568,1281060913.835518,684407,248108.1042,642646386.107198
2022-03-12 00:00:00+00:00,2556.86,2616.79,2553.39,2568.8,219236.5711,567134036.896676,327122,114440.8384,296103645.660044
2022-03-13 00:00:00+00:00,2568.8,2603.32,2493.0,2515.65,316942.1601,811775081.557994,444352,148692.8964,381067370.582154
2022-03-14 00:00:00+00:00,2515.66,2609.6,2498.67,2589.41,386630.1912,991479973.091494,609122,201825.4663,517653965.184892
2022-03-15 00:00:00+00:00,2589.42,2669.0,2507.0,2617.73,461202.3014,1189436494.535537,686797,235635.1425,608109166.511669
2022-03-16 00:00:00+00:00,2617.74,2788.0,2603.38,2773.81,666224.7217,1792497068.36131,1055171,338488.8388,911512672.569373
2022-03-17 00:00:00+00:00,2773.8,2836.0,2746.42,2811.92,379312.541,1058301299.033757,597885,192019.3212,535967207.351335
2022-03-18 00:00:00+00:00,2811.91,2984.0,2765.59,2938.92,556535.7966,1590887965.76135,794774,295262.3263,844515701.627299
2022-03-19 00:00:00+00:00,2938.84,2987.7,2890.86,2950.84,325971.5398,961244629.511118,556406,167607.0765,494412072.827475
2022-03-20 00:00:00+00:00,2950.85,2964.17,2817.21,2861.38,377608.8214,1089196046.052685,651827,187345.6127,540409984.019528
2022-03-21 00:00:00+00:00,2861.39,2960.57,2829.81,2890.03,450223.9073,1305282353.585495,690648,231550.1453,671432670.696185
2022-03-22 00:00:00+00:00,2890.03,3052.85,2886.43,2969.64,564868.9839,1692559175.066055,920670,295987.2868,886799022.425233
2022-03-23 00:00:00+00:00,2969.64,3045.2,2920.65,3036.0,453962.7298,1350911495.416662,813052,226895.0474,675451952.823776
2022-03-24 00:00:00+00:00,3035.99,3129.11,2999.11,3110.76,577171.5239,1768485489.446136,853822,298092.171,913674092.595102
2022-03-25 00:00:00+00:00,3110.75,3193.28,3076.0,3102.14,489099.5572,1532535177.917052,745999,245720.4973,770253604.029141
2022-03-26 00:00:00+00:00,3102.13,3153.2,3084.9,3145.0,207134.847,646551585.682247,403089,103598.4935,323415530.754146
2022-03-27 00:00:00+00:00,3145.01,3299.37,3126.02,3295.65,335467.4145,1072163952.322084,645675,181361.8562,579807710.285812
2022-03-28 00:00:00+00:00,3295.65,3431.15,3275.01,3332.92,527237.1133,1766636914.051384,964079,270854.1957,907605017.55763
2022-03-29 00:00:00+00:00,3332.91,3481.87,3329.68,3400.51,465899.8226,1590016971.388558,884317,231156.957,789137059.001019
2022-03-30 00:00:00+00:00,3400.51,3446.9,3331.84,3385.79,356082.5231,1206555998.567904,675015,181916.4148,616519459.519428
2022-03-31 00:00:00+00:00,3385.8,3444.83,3261.35,3281.51,455091.2395,1526047563.602515,770564,216602.7505,726452427.308718
2022-04-01 00:00:00+00:00,3281.51,3481.29,3210.68,3455.21,532169.2392,1780259682.532936,883079,268660.5014,899094037.962393
2022-04-02 00:00:00+00:00,3455.2,3532.2,3433.14,3443.77,499893.29,1740311567.806437,763785,245277.9443,854137231.658219
2022-04-03 00:00:00+00:00,3443.77,3580.34,3412.11,3521.91,381581.7683,1334671716.892238,619758,194051.9378,678865118.435445
2022-04-04 00:00:00+00:00,3521.9,3547.0,3405.97,3519.5,449984.1586,1564866359.686716,810677,227537.1061,791274569.736388
2022-04-05 00:00:00+00:00,3519.5,3555.0,3400.0,3406.99,397782.7437,1383264215.874245,674184,191093.8907,665052981.216132
2022-04-06 00:00:00+00:00,3407.0,3407.5,3162.39,3168.51,736273.1047,2411228209.986985,1098773,348042.4629,1140287731.802044
2022-04-07 00:00:00+00:00,3168.52,3268.98,3143.15,3227.19,458179.3272,1470465124.58207,706382,233162.8713,748511375.248145
2022-04-08 00:00:00+00:00,3227.2,3314.02,3173.52,3192.39,502422.5048,1634901495.645322,810752,250684.5444,816205996.871715
2022-04-09 00:00:00+00:00,3192.39,3268.4,3181.28,3258.57,212444.2566,683630508.159035,386154,112210.7428,361094272.724255
2022-04-10 00:00:00+00:00,3258.57,3307.22,3193.0,3203.04,232303.2326,756032282.614135,439811,110649.5741,360491570.066002
2022-04-11 00:00:00+00:00,3203.04,3213.63,2950.0,2979.74,693394.2912,2127486125.62208,969832,330445.6021,1013511043.007334
2022-04-12 00:00:00+00:00,2979.75,3085.0,2950.0,3027.66,579522.9505,1750871209.720005,742214,295005.6558,891311086.89011
2022-04-13 00:00:00+00:00,3027.65,3128.97,2996.86,3118.28,419101.494,1285303924.978813,623328,215591.5489,661284289.125812
2022-04-14 00:00:00+00:00,3118.28,3145.0,2976.3,3021.98,408382.5572,1249759777.271426,540399,195917.4896,599778999.052393
2022-04-15 00:00:00+00:00,3021.98,3060.92,2993.13,3040.56,249626.2981,755644733.734266,388136,127112.3808,384893733.163731
2022-04-16 00:00:00+00:00,3040.57,3086.1,3010.03,3059.3,176352.4165,536234354.297344,298000,91002.4595,276791716.298392
2022-04-17 00:00:00+00:00,3059.3,3083.0,2981.7,2988.06,243772.074,742151590.621933,389959,117250.931,357193639.075146
2022-04-18 00:00:00+00:00,2988.07,3069.6,2883.22,3055.56,510251.6536,1508168472.867298,703622,251979.4119,745071559.389888
2022-04-19 00:00:00+00:00,3055.56,3131.0,3030.34,3101.77,359375.0038,1106468538.117098,521060,187636.8495,577702948.841607
2022-04-20 00:00:00+00:00,3101.74,3166.5,3036.45,3076.04,415000.0685,1285353922.303612,571292,206446.813,639549546.682222
2022-04-21 00:00:00+00:00,3076.03,3180.0,2942.31,2983.58,562699.697,1736496193.473973,719659,281522.194,869855348.793117
2022-04-22 00:00:00+00:00,2983.57,3034.32,2930.35,2962.39,452433.082,1350044345.250315,604084,216294.7313,645524337.460469
2022-04-23 00:00:00+00:00,2962.39,2978.03,2913.89,2933.03,187576.7324,554261385.85153,348435,89693.7455,265012367.481114
2022-04-24 00:00:00+00:00,2933.04,2967.06,2912.09,2921.0,218957.0222,643702920.89106,354013,106460.8405,312977989.100133
2022-04-25 00:00:00+00:00,2920.99,3025.65,2797.01,3006.62,619198.3616,1789151245.676505,804935,304457.3579,880321348.209418
2022-04-26 00:00:00+00:00,3006.63,3039.54,2767.0,2809.67,531184.3504,1544470478.04639,775652,259112.9956,754001908.13238
2022-04-27 00:00:00+00:00,2809.68,2919.87,2794.46,2888.96,488951.2416,1401317315.552324,669916,246670.3519,706994610.709575
2022-04-28 00:00:00+00:00,2888.95,2980.0,2853.83,2936.93,537392.9978,1567476627.908683,736818,273351.8061,797420928.348637
2022-04-29 00:00:00+00:00,2936.92,2946.46,2776.63,2817.13,525978.147,1503869186.333024,678273,255390.6462,730762583.362024
2022-04-30 00:00:00+00:00,2817.13,2841.63,2709.26,2726.66,367757.2469,1028113961.632706,577285,171690.8377,480105516.792566
2022-05-01 00:00:00+00:00,2726.67,2849.9,2716.13,2824.81,442544.8792,1230927404.406151,539462,228341.6993,635079254.459124
2022-05-02 00:00:00+00:00,2824.81,2894.22,2778.78,2856.54,521706.8567,1476062750.216177,625431,269834.1299,763609796.903061
